problem_id,n,m,seed,greedy_objective,greedy_time,greedy_feasible,greedy_z_count,greedy_x_total,milp_objective,milp_time,milp_feasible,milp_z_count,milp_x_total,brute_force_objective,brute_force_time,brute_force_feasible,brute_force_z_count,brute_force_x_total,genetic_objective,genetic_time,genetic_feasible,genetic_z_count,genetic_x_total
P1_S1,10,5,0,1226.4718002572884,0.09934544563293457,True,4,414,1226.4718002572884,0.012741804122924805,True,4,414,1226.4718002572884,0.03444409370422363,True,4,414,1226.4718002572884,1.112518072128296,True,4,414
P1_S10,10,5,9,1898.5521021756178,0.006556987762451172,True,5,650,1898.5521021756172,0.012967109680175781,True,5,650,1898.5521021756178,0.031090259552001953,True,5,650,1898.5521021756178,1.363316297531128,True,5,650
P1_S2,10,5,1,1328.082827040405,0.0064008235931396484,True,4,462,1328.082827040405,0.013874292373657227,True,4,462,1328.082827040405,0.0347292423248291,True,4,462,1328.082827040405,1.237837314605713,True,4,462
P1_S3,10,5,2,1391.8765182409015,0.008153200149536133,True,5,420,1391.8765182409015,0.012729883193969727,True,5,420,1391.8765182409015,0.0305938720703125,True,5,420,1391.8765182409015,1.1760954856872559,True,5,420
P1_S4,10,5,3,1279.1199920477686,0.006357669830322266,True,5,510,1279.1199920477688,0.011183500289916992,True,5,510,1279.1199920477686,0.03836941719055176,True,5,510,1279.1199920477686,1.2678523063659668,True,5,510
P1_S5,10,5,4,924.0103923202873,0.00595545768737793,True,3,415,1019.7173881989912,0.014473199844360352,True,3,450,1019.7173881989911,0.03478884696960449,True,3,450,1019.7173881989911,1.3461081981658936,True,3,450
P1_S6,10,5,5,1312.6654445416607,0.0060405731201171875,True,5,542,1312.665444541661,0.012520313262939453,True,5,542,1312.6654445416607,0.028524160385131836,True,5,542,1312.6654445416607,1.1542439460754395,True,5,542
P1_S7,10,5,6,1520.0618225745902,0.006776571273803711,True,4,539,1520.0618225745902,0.015267133712768555,True,4,539,1520.0618225745902,0.03777766227722168,True,4,539,1520.0618225745902,1.2646420001983643,True,4,539
P1_S8,10,5,7,1058.0217500996819,0.006906986236572266,True,4,426,1058.0217500996819,0.01098942756652832,True,4,426,1058.0217500996819,0.02930307388305664,True,4,426,1058.0217500996819,1.2092516422271729,True,4,426
P1_S9,10,5,8,877.75093079318,0.0058438777923583984,True,4,488,877.7509307931801,0.011194705963134766,True,4,488,877.75093079318,0.026669025421142578,True,4,488,877.75093079318,1.0820930004119873,True,4,488
P2_S1,15,8,100,2459.3181753465587,0.013936281204223633,True,7,814,2459.3181753465587,0.017989635467529297,True,7,814,2459.3181753465587,0.3788871765136719,True,7,814,2459.3181753465587,2.476109504699707,True,7,814
P2_S10,15,8,109,1949.9975975441712,0.014952659606933594,True,7,643,1949.997597544171,0.01777791976928711,True,7,643,1949.9975975441712,0.4059598445892334,True,7,643,1949.9975975441712,2.272303342819214,True,7,643
P2_S2,15,8,101,1984.0088835832757,0.014063358306884766,True,8,779,1984.0088835832757,0.016495943069458008,True,8,779,1984.0088835832757,0.3858988285064697,True,8,779,1984.0088835832757,2.4112324714660645,True,8,779
P2_S3,15,8,102,2303.397599099387,0.01421356201171875,True,8,719,2303.3975990993877,0.01470947265625,True,8,719,2303.397599099387,0.3827066421508789,True,8,719,2303.397599099387,2.2719333171844482,True,8,719
P2_S4,15,8,103,1366.030105263348,0.013589859008789062,True,8,479,1366.030105263348,0.015263557434082031,True,8,479,1366.030105263348,0.38776087760925293,True,8,479,1366.030105263348,2.2478413581848145,True,8,479
P2_S5,15,8,104,1834.6430935890742,0.014373064041137695,True,6,694,1889.540655217224,0.018999338150024414,True,5,666,1889.5406552172237,0.39171719551086426,True,5,666,1889.5406552172237,1.9937162399291992,True,5,666
P2_S6,15,8,105,950.8518495138635,0.014450788497924805,True,6,564,950.8518495138635,0.016394376754760742,True,6,564,950.8518495138635,0.366135835647583,True,6,564,950.8518495138635,2.227344512939453,True,6,564
P2_S7,15,8,106,1829.456270358992,0.013926506042480469,True,7,633,1829.456270358992,0.015539169311523438,True,7,633,1829.456270358992,0.39906740188598633,True,7,633,1829.456270358992,2.089261770248413,True,7,633
P2_S8,15,8,107,2101.4856830764297,0.013726472854614258,True,7,852,2274.856111635098,0.05255293846130371,True,6,743,2274.8561116350984,0.3888280391693115,True,6,743,2274.8561116350984,2.6980719566345215,True,6,743
P2_S9,15,8,108,2326.7958091391306,0.01485586166381836,True,7,735,2353.040191694527,0.024151086807250977,True,7,801,2353.040191694527,0.3830711841583252,True,7,801,2353.040191694527,1.9393479824066162,True,7,801
P3_S1,20,10,200,2307.2888205369745,0.02375960350036621,True,10,804,2307.2888205369745,0.019799232482910156,True,10,804,2307.2888205369745,2.0852267742156982,True,10,804,2307.2888205369745,3.147714376449585,True,10,804
P3_S10,20,10,209,3536.755065938952,0.023336410522460938,True,9,1095,3546.5142774303595,0.022861719131469727,True,9,1141,3546.514277430359,2.0758047103881836,True,9,1141,3546.514277430359,3.6889760494232178,True,9,1141
P3_S2,20,10,201,2278.762713973113,0.023059368133544922,True,10,778,2278.7627139731135,0.020413875579833984,True,10,778,2278.762713973113,2.1402101516723633,True,10,778,2278.762713973113,2.980431318283081,True,10,778
P3_S3,20,10,202,3439.5419031522715,0.024845123291015625,True,10,1139,3439.5419031522724,0.020218610763549805,True,10,1139,3439.5419031522715,2.0860297679901123,True,10,1139,3439.5419031522715,3.1133766174316406,True,10,1139
