problem_id,n,m,seed,greedy_objective,greedy_time,greedy_feasible,greedy_z_count,greedy_x_total,milp_objective,milp_time,milp_feasible,milp_z_count,milp_x_total,brute_force_objective,brute_force_time,brute_force_feasible,brute_force_z_count,brute_force_x_total,genetic_objective,genetic_time,genetic_feasible,genetic_z_count,genetic_x_total
P2_S3,15,8,102,2040.1340354215886,0.004036903381347656,True,7,627,2303.3975990993877,0.017840862274169922,True,8,719,2303.397599099387,3.8716695308685303,True,8,719,2303.397599099387,20.17841076850891,True,8,719
P2_S4,15,8,103,1366.030105263348,0.004185676574707031,True,8,479,1366.030105263348,0.019268035888671875,True,8,479,1366.030105263348,3.8790884017944336,True,8,479,1366.030105263348,19.230100870132446,True,8,479
P2_S5,15,8,104,1459.6430935890742,0.002330780029296875,True,6,554,1889.540655217224,0.08919358253479004,True,5,666,1889.5406552172237,3.7888591289520264,True,5,666,1889.5406552172237,17.612910747528076,True,5,666
P2_S6,15,8,105,711.2389267640689,0.003438711166381836,True,4,280,950.8518495138635,0.020896434783935547,True,6,485,950.8518495138635,3.8902761936187744,True,6,564,950.8518495138635,18.702534675598145,True,6,564
P2_S7,15,8,106,1719.456270358992,0.0041463375091552734,True,7,579,1829.456270358992,0.019005537033081055,True,7,601,1829.456270358992,3.665375232696533,True,7,633,1829.456270358992,19.921826601028442,True,7,633
P2_S8,15,8,107,1793.6227005554586,0.003585338592529297,True,7,679,2274.856111635098,0.10841631889343262,True,6,743,2274.8561116350984,3.7086081504821777,True,6,743,2274.8561116350984,19.105252027511597,True,6,743
P2_S9,15,8,108,2326.7958091391306,0.003773212432861328,True,7,735,2353.040191694527,0.027837038040161133,True,7,778,2353.040191694527,3.859624147415161,True,7,801,2353.040191694527,18.922740697860718,True,7,801
P3_S1,20,10,200,1920.4321614071187,0.00796198844909668,True,9,680,2307.2888205369745,0.023813724517822266,True,10,804,2307.2888205369745,15.235912322998047,True,10,804,2307.2888205369745,19.338998079299927,True,10,804
P3_S10,20,10,209,2841.755065938952,0.004123210906982422,True,9,956,3546.5142774303595,0.06958293914794922,True,9,1141,3546.514277430359,15.286377429962158,True,9,1141,3546.514277430359,21.464857578277588,True,9,1141
P3_S2,20,10,201,2278.762713973113,0.005072832107543945,True,10,778,2278.7627139731135,0.020203113555908203,True,10,778,2278.762713973113,15.398025274276733,True,10,778,2278.762713973113,21.513825178146362,True,10,778
P3_S3,20,10,202,2754.5419031522715,0.004511833190917969,True,10,1002,3439.5419031522724,0.016610383987426758,True,10,1139,3439.5419031522715,15.237442970275879,True,10,1139,3439.5419031522715,21.980880737304688,True,10,1139
P3_S4,20,10,203,2743.231081294898,0.003130674362182617,True,8,886,3147.969857923602,0.02910614013671875,True,9,1044,3147.969857923601,15.074493885040283,True,9,1064,3147.969857923601,21.788166284561157,True,9,1064
P3_S5,20,10,204,2318.1302731580777,0.005209445953369141,True,10,816,2613.1302731580768,0.020556926727294922,True,10,875,2613.1302731580777,14.977766513824463,True,10,875,2613.1302731580777,21.43603277206421,True,10,875
P3_S6,20,10,205,2416.043819285306,0.004078865051269531,True,7,783,2892.829384563808,0.1642298698425293,True,8,926,2892.829384563808,15.437304019927979,True,8,926,2892.829384563808,28.880833625793457,True,8,926
P3_S7,20,10,206,2552.0864570096155,0.0050542354583740234,True,10,827,2572.0864570096155,0.016443252563476562,True,10,831,2572.0864570096155,15.464552879333496,True,10,844,2572.0864570096155,21.191589832305908,True,10,844
